#{"t_start": 1783036903.96592, "env_id": "None"}
r,l,t
28.985712,83,25.007717
4.2866774,10,25.025056
0.36611775,3,25.031273
33.481644,92,25.069726
13.13355,24,25.075842
148.62239,441,25.088143
4.808952,15,25.104005
7.4436054,14,25.126853
1.3806953,7,25.139407
20.677677,47,25.152839
1.1729312,8,25.152886
10.443859,20,25.186118
39.850822,104,25.193725
25.926443,69,25.205746
19.388865,44,25.27575
6.3069835,32,25.323641
1.5963575,10,25.338485
4.041322,11,25.355276
1.0360808,3,25.360274
44.047924,118,25.370602
3.9339347,10,25.385811
17.374008,41,25.419842
17.404299,53,25.461549
8.066113,22,25.494824
9.72497,33,25.543415
87.99479,241,25.55693
8.183688,21,25.574958
15.964749,57,25.657592
3.5107548,14,25.678657
12.4733095,26,25.72079
138.99649,387,25.741874
9.533189,22,25.936407
6.3527637,19,25.967195
22.119518,56,25.971322
39.790962,110,26.137695
2.5517538,5,26.146395
40.297005,127,26.332395
171.56682,512,26.351119
4.4622593,14,26.354709
5.7478523,18,26.380964
181.3533,512,26.484521
2.418427,3,26.489524
44.756504,109,26.508999
136.42944,410,26.575785
20.330473,51,26.586718
1.5632688,7,26.589369
84.38525,262,26.781152
7.356774,23,26.81582
50.23989,147,26.821674
7.7995234,26,26.856611
14.363412,48,26.92637
83.74311,289,26.93589
30.519943,96,26.964206
0.021918926,4,26.971192
16.418987,27,26.978227
7.2417836,20,27.002587
3.650863,15,27.025143
6.0683417,16,27.048216
33.925617,84,27.054944
2.5720496,7,27.066879
10.201741,25,27.088473
5.3013954,23,27.124801
21.638231,50,27.146502
45.401253,125,27.173735
9.759672,31,27.176233
18.183548,37,27.20604
5.0039363,14,27.227856
2.1492212,7,27.238936
148.13908,431,27.259045
-0.001889248,4,27.265733
27.602798,82,27.305015
24.74967,91,27.321216
23.346601,57,27.357113
21.93317,71,27.471828
2.0913851,10,27.49112
37.844486,102,27.511989
1.7267034,8,27.52749
61.0159,154,27.53355
1.5294132,6,27.539349
32.16037,100,27.772233
25.055899,68,27.817596
21.92643,68,27.886851
42.582455,102,27.915522
48.70144,141,28.007322
58.8958,159,28.112895
61.300297,186,28.304625
7.065182,14,28.327329
5.767044,17,28.35569
9.11437,15,28.379355
10.772762,21,28.413144
166.07898,470,28.684067
4.355364,17,28.70994
8.447729,19,28.738153
144.88232,512,28.774952
0.576339,6,28.784792
26.220884,63,28.835086
8.083766,29,28.881504
154.36327,512,28.927838
12.992967,33,28.978264
69.89926,204,29.09498
23.769089,66,29.194677
1.5920191,12,29.213346
183.91661,512,29.21582
2.3090641,10,29.231695
27.159435,65,29.313671
30.082296,70,29.338482
10.313271,22,29.348304
5.242648,23,29.383119
4.7923546,12,29.402686
92.928085,288,29.419717
13.527856,37,29.622621
160.23834,512,29.819712
81.170876,258,29.886916
63.105125,188,29.899609
4.3445926,8,29.899656
3.737024,8,29.913617
11.625247,37,29.96993
36.376698,105,29.979872
3.3930144,12,29.98975
7.945496,13,30.01185
10.14497,34,30.036092
7.091375,30,30.062094
12.111934,30,30.107824
15.834477,47,30.112334
114.81209,363,30.139549
7.971187,12,30.158433
11.450712,30,30.160881
5.313454,17,30.186603
10.231569,26,30.198872
59.049007,190,30.204146
1.3308359,4,30.206571
3.4367728,10,30.222465
16.239948,33,30.256901
21.89906,49,30.297466
31.501156,103,30.347482
8.756733,30,30.391931
10.818544,34,30.444838
43.528248,130,30.455835
83.20069,239,30.479416
8.338929,22,30.511992
19.35146,57,30.530432
9.21454,29,30.557684
2.3900018,6,30.567937
31.754486,83,30.583835
9.857375,30,30.613617
5.2156234,25,30.621958
2.0766752,11,30.63161
25.81739,69,30.640038
3.9459453,13,30.66195
21.37467,43,30.691233
10.40303,25,30.701477
5.3707232,9,30.707114
7.604131,19,30.735981
10.756513,35,30.75836
13.791718,52,30.817169
23.906736,56,30.843016
1.0928953,12,30.863223
31.884022,89,30.953179
2.658593,8,30.967127
131.67783,431,30.967183
1.4987305,8,30.981294
7.2821026,20,31.000211
0.9646072,6,31.009975
7.4477143,23,31.018405
7.6138697,14,31.039692
7.6641626,16,31.064879
41.657494,154,31.104364
12.1385355,32,31.115756
6.6236296,14,31.127218
5.2289343,17,31.15326
124.59846,372,31.370869
6.772712,15,31.396241
75.46576,209,31.486161
63.14478,164,31.520581
61.57095,192,31.599416
8.622212,24,31.636231
30.240294,78,31.640178
7.0100274,19,31.666556
7.4693575,24,31.6779
63.459164,214,31.722126
11.897423,29,31.72443
4.227331,20,31.755092
29.859493,85,31.798446
7.386072,27,31.840005
31.430693,78,31.84255
1.3435687,6,31.852474
27.140703,91,31.894083
21.554869,50,31.929075
22.662031,47,31.966815
1.6644763,7,31.978001
3.0553913,5,31.98631
42.174473,122,32.110807
1.3220841,11,32.12983
44.873386,100,32.136964
17.168093,43,32.194025
7.1466713,25,32.232734
4.315111,13,32.253054
3.2060854,7,32.264223
163.97014,512,32.272561
9.986004,20,32.303051
10.114671,33,32.315515
70.51489,193,32.432013
131.37305,408,32.468461
12.216402,28,32.530835
4.630701,7,32.544466
7.878194,15,32.568164
31.938192,84,32.587569
10.767908,18,32.596374
4.872564,22,32.628865
23.226254,55,32.672489
83.28264,215,32.672553
3.869187,11,32.689855
5.085083,20,32.720365
4.3925853,13,32.742043
3.5647573,8,32.756516
32.20648,87,32.813535
20.486614,58,32.847786
